time,open,high,low,close,0050 · TWSE: close,MA,Volume,Plot,Plot
2011-06-27,57.5,59.799999,57.200001,59.700001,59.700001,53.31058321666671,77535378,53.94738659971582,45.175460237756916
2011-07-04,59.900002,60.700001,59.75,60.049999,60.049999,53.53041655833338,71056980,58.55262162396514,48.903520169663075
2011-07-11,59.849998,59.950001,58.450001,59.200001,59.200001,53.73208323333338,157449420,47.36844182824665,53.28948335064252
2011-07-18,59.150002,61.150002,58.400002,61,61,53.94524991666671,81422618,71.0526298476461,58.991231099952614
2011-07-25,60.5,61.450001,59.900002,59.900002,59.900002,54.12966660000004,59951752,56.57897766619303,58.333349780695244
2011-08-01,60.5,60.5,54.450001,54.450001,54.450001,54.26174995833337,201366239,0,42.54386917127969
2011-08-08,54.299999,54.849998,50.400002,53.549999,53.549999,54.37491660833337,351064290,24.609353485105736,27.062777050432903
2011-08-15,54.200001,55,51.099998,51.099998,51.099998,54.46841658333337,120491070,5.468719177243676,10.026024220783116
2011-08-22,51.299999,53.400002,51.049999,53.049999,53.049999,54.57299990833337,124481660,21.721294006981637,17.266455556443685
2011-08-29,53.099998,56.099998,53.099998,55.150002,55.150002,54.6813332416667,105532380,38.93443899489804,22.041484059707784
2011-09-05,53.950001,54.75,52.299999,54.150002,54.150002,54.75066657500003,98489710,30.737714995972134,30.4644826659506
2011-09-12,53.599998,54.150002,51.299999,54.099998,54.099998,54.828166566666695,125410430,30.327846009129832,33.333333333333336
2011-09-19,53.849998,53.950001,49.93,50.349998,50.349998,54.86624989166669,139388631,3.3149018650200235,21.460154290040663
2011-09-26,50.25,51.900002,49.299999,51.650002,51.650002,54.896666575000026,116676740,17.66919681723285,17.103981563794235
2011-10-03,50.75,52.150002,49.5,51.549999,51.549999,54.93774990833336,99341070,16.917294505059736,12.633797729104202
2011-10-10,52.75,53.200001,52.450001,52.450001,52.450001,55.00266658333336,56967367,23.684227344678753,19.423572888990446
2011-10-17,53.099998,53.450001,51.549999,51.950001,51.950001,55.075166591666694,79434930,19.92482856577659,20.175450138505028
